Station ID,Complex ID,GTFS Stop ID,Data Set Station,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude
119,119,L06,1 AV,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628
119,119,L06,1 AVE,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628
156,156,A18,103 ST,IND,8th Av - Fulton St,103 St,M,B C,Subway,40.796092,-73.961454
309,309,119,103 ST,IRT,Broadway - 7Av,103 St,M,1,Subway,40.799446,-73.968379
395,395,624,103 ST,IRT,Lexington Av,103 St,M,6,Subway,40.7906,-73.947478
450,450,706,103 ST-CORONA,IRT,Flushing,103 St-Corona Plaza,Q,7,Elevated,40.749865,-73.8627
82,82,J14,104 ST,BMT,Jamaica,104 St,Q,J Z,Elevated,40.695178000000006,-73.84433
193,193,A63,104 ST,IND,Liberty Av,104 St,Q,A,Elevated,40.681711,-73.837683
394,394,623,110 ST,IRT,Lexington Av,110 St,M,6,Subway,40.79502,-73.94425
81,81,J13,111 ST,BMT,Jamaica,111 St,Q,J,Elevated,40.697418,-73.836345
194,194,A64,111 ST,IND,Liberty Av,111 St,Q,A,Elevated,40.684331,-73.832163
449,449,705,111 ST,IRT,Flushing,111 St,Q,7,Elevated,40.75173,-73.855334
154,154,A16,116 ST,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882
393,393,622,116 ST,IRT,Lexington Av,116 St,M,6,Subway,40.798629,-73.94161700000001
440,440,226,116 ST,IRT,Lenox - White Plains Rd,116 St,M,2 3,Subway,40.802098,-73.949625
307,307,117,116 ST-COLUMBIA,IRT,Broadway - 7Av,116 St-Columbia University,M,1,Subway,40.807722,-73.96410999999999
80,80,J12,121 ST,BMT,Jamaica,121 St,Q,J Z,Elevated,40.700492,-73.828294
153,153,A15,125 ST,IND,8th Av - Fulton St,125 St,M,A B C D,Subway,40.811109,-73.952343
306,306,116,125 ST,IRT,Broadway - 7Av,125 St,M,1,Elevated,40.815581,-73.958372
392,392,621,125 ST,IRT,Lexington Av,125 St,M,4 5 6,Subway,40.804138,-73.93759399999999
439,439,225,125 ST,IRT,Lenox - White Plains Rd,125 St,M,2 3,Subway,40.807753999999996,-73.945495
152,152,A14,135 ST,IND,8th Av - Fulton St,135 St,M,B C,Subway,40.817894,-73.947649
438,438,224,135 ST,IRT,Lenox - White Plains Rd,135 St,M,2 3,Subway,40.814229,-73.94077
305,305,115,137 ST CITY COL,IRT,Broadway - 7Av,137 St-City College,M,1,Subway,40.822008000000004,-73.953676
305,305,115,137 ST-CITY COL,IRT,Broadway - 7Av,137 St-City College,M,1,Subway,40.822008000000004,-73.953676
391,391,416,138 ST-GR CONC,IRT,Jerome Av,138 St-Grand Concourse,Bx,4 5,Subway,40.813224,-73.929849
